Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,0.25869541672426,0.192505780825812,-8.21499680860377E-09,0,0,0,109.730388705482,5.4341782966408,0.106274870195994,3.46114554365351E-08,10.5363707740741,-1.27246804837571E-07,5.81414454117962,0,0,0,0,0,0,package://aliro/meshes/chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/chassis.STL,,cart-1/chasis_base-1;base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,0,-2.77555756156289E-17,0.0370615924700728,0,0,0,1.38833895187297,0.00272539380308217,0,-2.83076731875841E-19,0.00272539380308217,-2.44777210122578E-20,0.00392351398264956,0,0,0,0,0,0,package://aliro/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/wheel1.STL,,cart-1/wheel-1,Origin_w1,Axis5,w1,continuous,0.127,-0.28702,0.098538,1.5708,-1.4539,0,chassis,0,0,0,0,0,0,0,,,,,,,,
wheel2,0,5.55111512312578E-17,0.0370615924700728,0,0,0,1.38833895187297,0.00272539380308217,0,1.28704878059792E-19,0.00272539380308217,4.12507805507371E-20,0.00392351398264955,0,0,0,0,0,0,package://aliro/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/wheel2.STL,,cart-1/wheel-3,Origin_w2,Axis6,w2,continuous,0.127,0.28702,0.098538,1.5708,-1.0099,3.1416,chassis,0,0,0,0,0,0,0,,,,,,,,
base,-0.0128558759424202,2.33730268292638E-07,0.0699637420545312,0,0,0,3.85673109866343,0.0141694474779058,-3.46114554601558E-08,0.000619856375109048,0.0177084891969044,1.27246804791466E-07,0.0169453957306945,0,0,0,0,0,0,package://aliro/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/base.STL,,base-1,Origin_fix,Axis_fix,fix,fixed,0,0,0.27942,0,0,0,chassis,0,0,0,,,,,,,,,,,,
l1,-1.07419610897042E-06,-0.0348176379806646,0.123297111861531,0,0,0,2.69585243416401,0.0169841452084803,-5.72170854771202E-09,1.49826473814368E-07,0.0162060468739537,0.00301569975605835,0.00600698145803866,0,0,0,0,0,0,package://aliro/meshes/l1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://aliro/meshes/l1.STL,,Joint1-1,Origin_j1,Axis_j1,j1,revolute,0,0,0.147,0,0,-2.9571,base,0,0,1,0,0,0,0,,,,,,,,
l2,-2.27732565652883E-07,0.0287915867829553,0.0869420587805022,0,0,0,3.20259654390777,0.0251758266423637,-2.64379354177231E-08,-4.65034549727592E-08,0.0238921587204047,0.00467719478698126,0.0076773684272548,0,0,0,0,0,0,package://aliro/meshes/l2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/l2.STL,,Joint2-1,Origin_j2,Axis_j2,j2,revolute,0,0,0.1925,0,0.0053997,0,l1,0,1,0,0,0,0,0,,,,,,,,
l3,-8.77561335686089E-07,-0.0348174862715901,0.123429867343758,0,0,0,2.69585280725073,0.0169842680845662,-5.19018879957533E-09,1.13076410258966E-07,0.0162060522048722,0.00301571989071225,0.00600685886730151,0,0,0,0,0,0,package://aliro/meshes/l3.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://aliro/meshes/l3.STL,,Joint1-2,Origin_j3,Axis_j3,j3,revolute,0,-0.0005,0.20667,0,0,-0.90202,l2,0,0,1,0,0,0,0,,,,,,,,
l4,-3.13438787119535E-07,0.0287913672518169,0.0869421425942705,0,0,0,3.20258822227518,0.0251758497813214,-2.12945347691923E-08,-4.89557748296118E-08,0.0238921733857743,0.00467720152801212,0.007677390075185,0,0,0,0,0,0,package://aliro/meshes/l4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/l4.STL,,Joint2-2,Origin_j4,Axis_j4,j4,revolute,0,0,0.19263,0,0.141,0,l3,0,1,0,0,0,0,0,,,,,,,,
l5,3.38780084208068E-07,-0.0298262252673278,0.0612977707745908,0,0,0,1.21453437186645,0.00673926227718285,-6.08201406338688E-10,9.88272083122361E-09,0.00566802038986323,0.00222830135392842,0.00305596316322463,0,0,0,0,0,0,package://aliro/meshes/l5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/l5.STL,,Part24-1,Origin_j5,Axis_j5,j5,revolute,0,-0.0005,0.22177,0,0,2.9452,l4,0,0,1,0,0,0,0,,,,,,,,
l6,4.16663853847199E-06,0.000339720932477222,0.000593402179120295,0,0,0,1.80875150376228,0.00489794485509576,4.7150088579675E-07,-5.54441116045596E-08,0.00468931114140774,0.000244483132492946,0.00356698606616304,0,0,0,0,0,0,package://aliro/meshes/l6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aliro/meshes/l6.STL,,joint5-1,Origin_j6,Axis_j6,j6,revolute,0,0,0.17753,0,0.24956,0,l5,0,1,0,0,0,0,0,,,,,,,,
